==============================================
  Session: Session 01
  Started: 2026-05-08 10:19:06
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        61.2     984.2    83.4     1.39     0.197        0.733
00:02:01   DATA               Normal      High       0.679    65.0     892.3    54.9     0.34     0.125        0.763
00:02:02   DATA               Normal      High       0.653    65.4     867.9    57.0     1.32     0.210        0.776
00:02:03   DATA               Normal      High       0.572    67.3     886.1    66.2     0.83     0.226        0.778
00:02:04   LEVEL High>Medium  Normal      Medium     0.480    69.4     899.5    74.8     2.82     0.222        0.765
00:02:04   DATA               Normal      Medium     0.480    69.4     899.5    74.8     2.82     0.222        0.765
00:02:05   DATA               Normal      Medium     0.413    70.6     903.7    77.4     1.00     0.221        0.740
00:02:06   DATA               Normal      Medium     0.313    70.2     912.8    76.0     1.75     0.219        0.701
00:02:07   LEVEL Medium>Low   Normal      Low        0.249    68.3     931.4    70.3     1.10     0.215        0.647
00:02:07   DATA               Normal      Low        0.249    68.3     931.4    70.3     1.10     0.215        0.647
00:02:09   DATA               Normal      Low        0.249    68.3     931.4    70.3     1.10     0.215        0.647
00:02:10   DATA               Normal      Low        0.249    68.3     931.4    70.3     1.10     0.215        0.647
00:02:11   DATA               Normal      Low        0.249    68.3     931.4    70.3     1.10     0.215        0.647
00:02:12   LEVEL Low>Medium   Normal      Medium     0.274    56.0     1032.2   60.9     6.59     0.215        0.631
00:02:12   DATA               Normal      Medium     0.274    56.0     1032.2   60.9     6.59     0.215        0.631
00:02:13   DATA               Normal      Medium     0.255    55.8     1061.6   78.9     0.47     0.105        0.678
00:02:14   LEVEL Medium>Low   Normal      Low        0.226    56.4     1067.4   102.6    0.87     0.117        0.723
00:02:14   DATA               Normal      Low        0.226    56.4     1067.4   102.6    0.87     0.117        0.723
00:02:15   DATA               Normal      Low        0.191    57.5     1043.6   108.7    0.76     0.120        0.746
00:02:16   DATA               Normal      Low        0.129    57.8     1051.0   122.2    0.33     0.212        0.748
00:02:17   DATA               Normal      Low        0.021    56.4     1035.0   130.1    0.33     0.242        0.732
00:02:18   DATA               Normal      Low        0.000    54.8     1032.9   118.6    0.55     0.215        0.720
00:02:19   DATA               Normal      Low        0.000    54.7     1033.4   112.9    0.47     0.215        0.713
00:02:20   DATA               Normal      Low        0.000    56.3     1058.2   128.8    1.16     0.236        0.708
00:02:21   DATA               Normal      Low        0.000    58.4     1082.0   97.3     1.50     0.231        0.702
00:02:22   DATA               Normal      Low        0.000    59.1     1067.6   90.5     3.00     0.234        0.700
00:02:23   DATA               Normal      Low        0.000    58.1     1006.5   104.3    0.21     0.124        0.701
00:02:24   DATA               Normal      Low        0.000    56.1     991.3    83.9     0.45     0.144        0.696
00:02:25   DATA               Normal      Low        0.007    54.5     975.3    82.0     0.40     0.147        0.664
00:02:26   DATA               Normal      Low        0.007    54.8     0.0      0.0      0.00     0.000        0.624
00:02:27   DATA               Normal      Low        0.007    54.8     0.0      0.0      0.00     0.000        0.624
00:02:28   DATA               Normal      Low        0.007    54.8     0.0      0.0      0.00     0.000        0.624
