==============================================
  Session: Session 01
  Started: 2026-05-11 15:14:22
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        63.8     935.0    75.6     0.84     0.242        0.794
00:02:01   DATA               Normal      Low        0.128    64.8     922.0    70.4     0.08     0.109        0.791
00:02:02   DATA               Normal      Low        0.064    64.7     927.8    76.0     0.17     0.120        0.806
00:02:03   DATA               Normal      Low        0.043    64.9     919.4    78.7     0.47     0.218        0.800
00:02:04   DATA               Normal      Low        0.032    64.6     916.0    86.5     1.00     0.218        0.798
00:02:05   DATA               Normal      Low        0.026    64.4     897.2    83.3     0.83     0.223        0.792
00:02:06   DATA               Normal      Low        0.000    65.0     893.6    79.8     0.18     0.224        0.773
00:02:07   DATA               Normal      Low        0.000    66.5     866.3    77.1     0.55     0.315        0.758
00:02:08   DATA               Normal      Low        0.019    68.4     880.0    71.7     0.49     0.253        0.752
00:02:09   DATA               Normal      Low        0.068    70.2     889.3    65.7     0.39     0.307        0.744
00:02:10   DATA               Normal      Low        0.118    70.7     889.5    65.5     3.34     0.205        0.739
00:02:11   DATA               Normal      Low        0.126    70.2     877.2    74.0     1.37     0.104        0.744
00:02:12   DATA               Normal      Low        0.156    68.8     890.2    69.4     2.48     0.112        0.744
00:02:13   DATA               Normal      Low        0.208    66.3     885.9    61.1     2.24     0.113        0.745
00:02:14   DATA               Normal      Low        0.241    64.6     891.1    59.1     1.01     0.112        0.754
00:02:15   DATA               Normal      Low        0.237    64.4     881.3    66.4     1.28     0.206        0.759
00:02:16   LEVEL Low>Medium   Normal      Medium     0.259    65.8     881.0    69.4     1.21     0.227        0.759
00:02:16   DATA               Normal      Medium     0.259    65.8     881.0    69.4     1.21     0.227        0.759
00:02:17   LEVEL Medium>Low   Normal      Low        0.229    67.9     877.9    81.1     1.75     0.228        0.763
00:02:17   DATA               Normal      Low        0.229    67.9     877.9    81.1     1.75     0.228        0.763
00:02:18   DATA               Normal      Low        0.184    69.9     873.2    70.2     3.86     0.229        0.772
00:02:19   DATA               Normal      Low        0.168    71.0     863.0    62.2     0.06     0.232        0.781
00:02:20   DATA               Normal      Low        0.172    71.1     851.0    65.7     0.64     0.321        0.799
00:02:21   DATA               Normal      Low        0.142    70.3     851.1    84.7     0.84     0.107        0.817
00:02:22   DATA               Normal      Low        0.163    69.5     843.4    71.3     0.13     0.431        0.831
00:02:23   DATA               Normal      Low        0.161    69.3     847.4    70.5     0.12     0.322        0.838
00:02:24   DATA               Normal      Low        0.150    69.8     835.1    64.5     0.28     0.360        0.837
00:02:25   DATA               Normal      Low        0.173    70.8     838.6    60.9     0.23     0.325        0.832
00:02:26   DATA               Normal      Low        0.173    71.6     840.7    77.8     0.41     0.325        0.825
00:02:27   DATA               Normal      Low        0.152    72.1     827.3    84.1     0.46     0.363        0.822
00:02:28   DATA               Normal      Low        0.128    72.2     835.5    75.4     0.01     0.327        0.817
00:02:29   DATA               Normal      Low        0.073    72.2     817.3    105.1    0.92     0.245        0.812
00:02:30   DATA               Normal      Low        0.001    72.0     817.8    99.3     0.06     0.245        0.806
