==============================================
  Session: Session 02
  Started: 2026-05-12 10:27:55
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        102.9    578.6    37.8     1.19     0.201        0.843
00:02:01   DATA               Normal      Low        0.000    103.9    549.8    43.7     1.46     0.303        0.787
00:02:02   DATA               Normal      Low        0.000    103.3    543.3    45.9     0.91     0.184        0.770
00:02:03   DATA               Normal      Low        0.000    103.7    581.0    39.6     0.64     0.246        0.768
00:02:04   DATA               Normal      Low        0.029    104.6    557.3    35.0     0.44     0.256        0.762
00:02:05   DATA               Normal      Low        0.023    105.1    547.1    38.3     1.36     0.305        0.757
00:02:06   DATA               Normal      Low        0.057    106.0    520.2    33.8     0.31     0.481        0.746
00:02:07   DATA               Normal      Low        0.057    106.0    520.2    33.8     0.31     0.481        0.746
00:02:08   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:09   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:10   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:11   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:12   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:13   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:14   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:15   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:16   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:17   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:18   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:19   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:20   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:21   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:22   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:23   DATA               Normal      Low        0.057    32.6     0.0      0.0      0.00     0.000        0.632
00:02:24   DATA               Normal      Low        0.147    109.4    537.9    27.1     5.54     0.143        0.623
00:02:25   DATA               Normal      Low        0.187    110.4    524.3    30.3     1.33     0.136        0.675
00:02:27   DATA               Normal      Low        0.227    112.0    534.4    33.0     1.82     0.234        0.733
00:02:28   DATA               Normal      Low        0.193    113.7    534.4    40.6     1.48     0.110        0.786
00:02:29   DATA               Normal      Low        0.210    114.8    532.2    35.8     1.68     0.418        0.831
00:02:30   DATA               Normal      Low        0.120    115.2    526.9    39.0     0.74     0.422        0.869
00:02:31   DATA               Normal      Low        0.057    114.8    531.6    44.4     1.50     0.418        0.899
00:02:32   DATA               Normal      Low        0.217    113.8    533.6    13.7     2.02     0.375        0.904
00:02:33   DATA               Normal      Low        0.217    112.3    533.4    45.7     1.18     0.331        0.905
