==============================================
  Session: Session 01
  Started: 2026-05-11 11:47:00
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        69.6     852.9    59.9     1.40     0.197        0.724
00:02:01   DATA               Normal      Medium     0.285    79.9     783.5    52.5     4.68     0.383        0.740
00:02:02   DATA               Normal      Medium     0.485    81.9     789.7    42.0     0.27     0.127        0.729
00:02:03   DATA               Normal      Medium     0.409    81.9     799.0    53.2     3.77     0.376        0.731
00:02:04   DATA               Normal      Medium     0.395    79.9     822.0    50.7     1.63     0.271        0.712
00:02:05   DATA               Normal      Medium     0.385    76.9     841.0    51.0     1.64     0.264        0.684
00:02:06   DATA               Normal      Medium     0.328    74.0     835.8    71.9     1.86     0.109        0.647
00:02:07   LEVEL Medium>Low   Normal      Low        0.191    69.2     841.3    63.7     1.69     0.216        0.627
00:02:07   DATA               Normal      Low        0.191    69.2     841.3    63.7     1.69     0.216        0.627
00:02:08   DATA               Normal      Low        0.140    65.4     848.2    63.5     1.61     0.214        0.617
00:02:09   DATA               Normal      Low        0.069    64.5     838.9    70.1     0.98     0.119        0.621
00:02:10   DATA               Normal      Low        0.000    66.4     835.9    83.7     1.36     0.218        0.631
00:02:11   DATA               Normal      Low        0.000    71.6     827.6    81.7     1.62     0.330        0.636
00:02:12   DATA               Normal      Low        0.000    75.7     801.1    86.5     1.61     0.312        0.625
00:02:13   DATA               Normal      Low        0.000    78.2     772.2    83.3     2.10     0.353        0.623
00:02:14   DATA               Normal      Low        0.000    79.6     743.8    78.1     0.63     0.336        0.644
00:02:15   DATA               Normal      Low        0.000    80.5     737.3    73.8     0.62     0.370        0.680
00:02:16   DATA               Normal      Low        0.000    81.4     737.3    83.4     0.16     0.247        0.720
00:02:17   DATA               Normal      Low        0.000    82.3     731.2    79.7     2.37     0.274        0.738
00:02:18   DATA               Normal      Low        0.004    82.4     730.6    59.4     0.07     0.152        0.734
00:02:19   DATA               Normal      Low        0.108    81.7     736.4    46.4     1.32     0.170        0.710
00:02:20   DATA               Normal      Low        0.185    81.2     752.1    49.9     1.90     0.148        0.673
00:02:21   DATA               Normal      Low        0.185    81.0     783.6    62.0     1.36     0.284        0.628
00:02:22   LEVEL Low>Medium   Normal      Medium     0.303    80.5     814.3    44.6     1.33     0.137        0.606
00:02:22   DATA               Normal      Medium     0.303    80.5     814.3    44.6     1.33     0.137        0.606
00:02:23   DATA               Normal      Medium     0.303    80.5     814.3    44.6     1.33     0.137        0.606
00:02:24   DATA               Normal      Medium     0.303    80.5     814.3    44.6     1.33     0.137        0.606
00:02:25   DATA               Normal      Medium     0.303    80.5     814.3    44.6     1.33     0.137        0.606
00:02:26   DATA               Normal      Medium     0.303    80.5     814.3    44.6     1.33     0.137        0.606
00:02:27   DATA               Normal      Medium     0.299    66.5     884.5    78.9     0.05     0.141        0.614
00:02:28   LEVEL Medium>Low   Normal      Low        0.195    65.4     841.1    99.9     0.10     0.297        0.615
00:02:28   DATA               Normal      Low        0.195    65.4     841.1    99.9     0.10     0.297        0.615
