==============================================
  Session: Session 01
  Started: 2026-05-06 10:12:49
==============================================

Time       Event              Arousal    Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:01:59   BASELINE END       –          –        79.6     759.3    47.8     1.15     0.228        0.818
00:02:00   DATA               Medium     0.384    79.7     717.8    38.1     1.54     0.214        0.753
00:02:01   DATA               Medium     0.325    83.7     713.7    41.1     1.52     0.108        0.727
00:02:02   LEVEL Medium>Low   Low        0.217    87.9     715.5    48.5     2.55     0.108        0.715
00:02:02   DATA               Low        0.217    87.9     715.5    48.5     2.55     0.108        0.715
00:02:03   DATA               Low        0.163    89.5     698.9    50.9     3.19     0.119        0.710
00:02:04   DATA               Low        0.168    88.9     718.3    43.0     2.92     0.107        0.712
00:02:05   DATA               Low        0.145    85.9     722.0    41.0     2.47     0.107        0.719
00:02:06   DATA               Low        0.134    81.3     732.7    42.5     1.56     0.114        0.721
00:02:07   DATA               Low        0.144    78.0     734.5    46.5     4.13     0.210        0.728
00:02:08   DATA               Low        0.181    76.8     742.9    43.1     4.87     0.225        0.748
00:02:10   DATA               Low        0.224    77.0     739.9    37.6     2.68     0.104        0.766
00:02:11   LEVEL Low>Medium   Medium     0.323    78.7     738.4    28.4     1.78     0.226        0.776
00:02:11   DATA               Medium     0.323    78.7     738.4    28.4     1.78     0.226        0.776
00:02:12   DATA               Medium     0.438    81.4     725.3    27.8     1.95     0.212        0.782
00:02:13   LEVEL Medium>High  High       0.577    84.3     715.1    28.8     1.66     0.215        0.787
00:02:13   DATA               High       0.577    84.3     715.1    28.8     1.66     0.215        0.787
00:02:14   DATA               High       0.624    86.6     709.9    37.2     2.01     0.217        0.790
00:02:15   DATA               High       0.679    87.9     712.4    30.6     5.36     0.324        0.789
00:02:16   DATA               High       0.712    87.9     713.5    24.2     2.67     0.324        0.793
00:02:17   DATA               High       0.718    86.6     718.0    27.0     2.28     0.107        0.795
00:02:18   DATA               High       0.681    83.7     723.5    33.5     1.87     0.106        0.797
00:02:19   DATA               High       0.739    80.3     732.9    29.9     1.33     0.228        0.794
00:02:20   DATA               High       0.704    78.4     738.1    35.1     1.13     0.209        0.802
00:02:21   DATA               High       0.556    78.3     746.6    43.0     1.97     0.112        0.814
00:02:22   LEVEL High>Medium  Medium     0.493    79.1     745.6    34.9     0.88     0.206        0.829
00:02:22   DATA               Medium     0.493    79.1     745.6    34.9     0.88     0.206        0.829
00:02:23   DATA               Medium     0.464    80.2     741.6    37.2     0.73     0.225        0.843
00:02:24   DATA               Medium     0.378    81.4     741.4    40.9     1.00     0.225        0.854
00:02:25   DATA               Medium     0.278    82.5     736.8    50.4     0.10     0.209        0.860
00:02:26   DATA               Medium     0.393    83.1     740.1    28.4     0.71     0.135        0.859
00:02:27   DATA               Medium     0.368    82.4     749.7    38.1     0.72     0.111        0.857
00:02:28   DATA               Medium     0.325    80.3     745.6    42.6     1.82     0.103        0.854
00:02:29   DATA               Medium     0.376    78.1     747.6    34.5     2.96     0.112        0.848
00:02:30   DATA               Medium     0.455    77.2     748.6    37.8     4.20     0.111        0.844
