==============================================
  Session: Session 05
  Started: 2026-05-07 15:17:52
==============================================

Time       Event              Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------
00:00:00   BASELINE START                                                                          
00:01:59   BASELINE END       –          –        79.2     747.2    55.5     1.17     0.203        0.687
00:02:01   DATA               Low        0.000    78.9     750.4    70.2     1.61     0.410        0.736
00:02:02   DATA               Low        0.000    81.4     747.6    60.6     1.46     0.335        0.732
00:02:03   DATA               Low        0.000    83.0     746.6    58.2     1.08     0.335        0.738
00:02:04   DATA               Low        0.000    83.7     763.5    73.8     0.69     0.328        0.728
00:02:05   DATA               Low        0.000    82.9     777.4    83.2     1.02     0.322        0.710
00:02:06   DATA               Low        0.000    80.7     793.8    87.4     1.60     0.115        0.680
00:02:07   DATA               Low        0.000    75.6     817.3    85.1     1.86     0.111        0.651
00:02:08   DATA               Low        0.000    69.2     818.7    87.2     1.11     0.306        0.620
00:02:09   DATA               Low        0.000    66.8     832.6    85.6     1.00     0.328        0.616
00:02:10   DATA               Low        0.000    66.2     813.0    83.0     2.66     0.308        0.612
00:02:11   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:12   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:13   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:14   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:15   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:16   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:17   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:18   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:19   DATA               Low        0.000    67.6     809.1    83.4     2.44     0.112        0.602
00:02:20   DATA               Low        0.000    69.3     804.3    57.1     0.51     0.124        0.613
00:02:21   DATA               Low        0.000    72.0     811.2    57.1     0.87     0.123        0.641
00:02:22   DATA               Low        0.000    76.1     815.0    66.7     0.59     0.112        0.666
00:02:23   DATA               Low        0.000    77.4     799.6    71.6     2.42     0.228        0.698
00:02:24   DATA               Low        0.000    77.3     771.6    63.4     0.20     0.324        0.733
00:02:25   DATA               Low        0.000    77.3     771.6    63.4     0.20     0.324        0.733
00:02:26   DATA               Low        0.000    76.8     759.3    63.5     0.39     0.329        0.760
00:02:27   DATA               Low        0.000    76.9     750.6    60.9     0.61     0.308        0.781
00:02:28   DATA               Low        0.000    78.2     755.6    59.7     0.78     0.331        0.802
00:02:29   DATA               Low        0.000    80.1     748.5    60.7     1.05     0.223        0.811
00:02:30   DATA               Low        0.000    81.8     750.7    64.8     5.19     0.205        0.813
00:02:31   DATA               Low        0.000    82.4     752.6    59.5     1.12     0.111        0.813
00:02:32   DATA               Low        0.000    81.7     748.4    62.1     3.92     0.223        0.816
00:02:33   DATA               Low        0.000    80.2     750.2    71.7     1.76     0.205        0.818
00:02:34   DATA               Low        0.000    78.6     763.6    61.7     1.32     0.328        0.826
00:02:35   DATA               Low        0.000    77.0     768.8    71.2     0.41     0.217        0.836
