==============================================
  Session: Session 01
  Started: 2026-05-08 12:24:28
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        68.2     855.3    68.3     0.96     0.223        0.757
00:02:01   DATA               Normal      High       0.655    64.3     895.7    46.1     1.30     0.223        0.819
00:02:02   DATA               Normal      High       0.664    65.3     886.3    45.5     1.15     0.339        0.811
00:02:03   DATA               Normal      High       0.530    67.1     858.0    59.4     2.70     0.318        0.800
00:02:04   DATA               Normal      High       0.545    69.2     860.1    48.3     2.44     0.317        0.793
00:02:05   LEVEL High>Medium  Normal      Medium     0.436    71.2     869.2    72.8     1.80     0.314        0.780
00:02:05   DATA               Normal      Medium     0.436    71.2     869.2    72.8     1.80     0.314        0.780
00:02:06   DATA               Normal      Medium     0.438    72.6     847.8    45.7     1.71     0.354        0.769
00:02:07   DATA               Normal      Medium     0.304    73.1     856.8    101.7    0.89     0.106        0.768
00:02:08   DATA               Normal      Medium     0.251    71.4     890.9    108.4    0.85     0.125        0.755
00:02:09   LEVEL Medium>Low   Normal      Low        0.133    67.8     867.8    116.2    0.47     0.144        0.733
00:02:09   DATA               Normal      Low        0.133    67.8     867.8    116.2    0.47     0.144        0.733
00:02:10   DATA               Normal      Low        0.133    65.6     807.0    86.4     0.07     0.155        0.716
00:02:11   DATA               Normal      Low        0.000    64.6     858.4    134.8    0.53     0.167        0.683
00:02:12   DATA               Normal      Low        0.000    65.1     894.9    168.9    1.29     0.186        0.650
00:02:13   DATA               Normal      Low        0.000    66.2     888.9    162.7    1.59     0.188        0.627
00:02:14   DATA               Normal      Low        0.000    67.1     824.7    130.2    0.15     0.202        0.615
00:02:15   DATA               Normal      Low        0.000    68.0     800.9    118.0    1.80     0.357        0.601
00:02:16   DATA               Normal      Low        0.000    68.7     801.5    105.3    1.44     0.312        0.607
00:02:17   DATA               Normal      Low        0.000    70.1     804.1    104.0    2.25     0.138        0.626
00:02:18   DATA               Normal      Low        0.000    73.4     786.7    92.2     1.56     0.127        0.652
00:02:19   DATA               Normal      Low        0.000    76.4     790.0    101.5    0.78     0.230        0.678
00:02:20   DATA               Normal      Low        0.000    77.8     796.9    72.1     3.04     0.228        0.711
00:02:21   DATA               Normal      Low        0.064    77.8     784.2    57.4     2.02     0.348        0.752
00:02:22   DATA               Normal      Low        0.157    76.1     786.4    56.2     1.62     0.318        0.803
00:02:23   LEVEL Low>Medium   Normal      Medium     0.318    75.1     793.9    41.1     1.18     0.115        0.824
00:02:23   DATA               Normal      Medium     0.318    75.1     793.9    41.1     1.18     0.115        0.824
00:02:24   DATA               Normal      Medium     0.318    75.1     793.9    41.1     1.18     0.115        0.824
00:02:25   DATA               Normal      Medium     0.472    74.6     794.5    42.2     0.25     0.114        0.841
00:02:26   LEVEL Medium>High  Normal      High       0.528    74.6     793.8    47.9     1.65     0.105        0.849
00:02:26   DATA               Normal      High       0.528    74.6     793.8    47.9     1.65     0.105        0.849
00:02:27   DATA               Normal      High       0.626    74.9     796.1    48.0     0.66     0.228        0.854
00:02:28   DATA               Normal      High       0.614    75.1     790.9    58.3     0.43     0.230        0.855
