==============================================
  Session: Session 01
  Started: 2026-05-08 14:09:30
==============================================

Time       Event              Context     Load       Score    HR       IBI      RMSSD    LF/HF    Breathing    SQI
----------------------------------------------------------------------------------------------------------------
00:00:00   BASELINE START     Normal                                                                           
00:01:59   BASELINE END       Normal      –          –        62.3     964.5    76.5     1.42     0.227        0.718
00:02:01   DATA               Normal      Medium     0.322    71.4     856.9    72.3     0.18     0.350        0.794
00:02:02   LEVEL Medium>Low   Normal      Low        0.215    71.0     872.1    92.8     0.47     0.313        0.807
00:02:02   DATA               Normal      Low        0.215    71.0     872.1    92.8     0.47     0.313        0.807
00:02:03   DATA               Normal      Low        0.215    71.0     872.1    92.8     0.47     0.313        0.807
00:02:04   DATA               Normal      Low        0.161    69.0     883.0    85.3     0.46     0.340        0.793
00:02:05   DATA               Normal      Low        0.129    68.0     902.7    83.6     0.90     0.333        0.771
00:02:06   DATA               Normal      Low        0.000    66.0     916.0    87.5     0.83     0.328        0.746
00:02:07   DATA               Normal      Low        0.000    66.0     916.0    87.5     0.83     0.328        0.746
00:02:08   DATA               Normal      Low        0.000    64.0     921.9    82.2     2.43     0.362        0.753
00:02:09   DATA               Normal      Low        0.000    63.1     944.1    87.6     1.96     0.118        0.768
00:02:11   DATA               Normal      Low        0.000    62.5     944.1    86.7     1.82     0.118        0.777
00:02:12   DATA               Normal      Low        0.100    61.9     936.3    63.4     0.10     0.401        0.778
00:02:13   DATA               Normal      Low        0.100    61.9     936.3    63.4     0.10     0.401        0.778
00:02:14   DATA               Normal      Low        0.172    62.1     911.9    67.1     0.66     0.274        0.734
00:02:15   DATA               Normal      Low        0.185    62.5     938.6    74.9     1.72     0.305        0.684
00:02:16   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:17   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:18   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:19   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:20   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:21   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:22   DATA               Normal      Low        0.185    63.4     937.4    101.2    0.98     0.152        0.635
00:02:23   DATA               Normal      Low        0.185    63.1     916.0    104.0    2.35     0.243        0.601
00:02:24   DATA               Normal      Low        0.084    64.9     915.6    94.8     1.53     0.328        0.652
00:02:25   DATA               Normal      Low        0.012    67.6     890.1    82.9     0.38     0.112        0.706
00:02:26   DATA               Normal      Low        0.000    68.6     887.2    79.9     0.13     0.113        0.753
00:02:27   DATA               Normal      Low        0.034    68.8     886.2    72.0     2.13     0.308        0.777
00:02:28   DATA               Normal      Low        0.055    68.8     905.6    73.8     4.57     0.331        0.784
00:02:29   DATA               Normal      Low        0.055    67.9     900.9    84.3     1.24     0.333        0.788
00:02:30   DATA               Normal      Low        0.079    65.3     927.7    73.3     0.97     0.216        0.777
00:02:31   DATA               Normal      Low        0.079    62.9     944.0    81.3     0.18     0.236        0.772
00:02:32   DATA               Normal      Low        0.045    61.8     924.7    86.6     0.84     0.325        0.768
